f0:ec:af:cf:6c:e1,c9:a6:4d:9b:c0:8c,c2:b6:6e:70:fa:f7,d9:5f:f5:4f:10:89,c4:52:32:5c:31:e7,e9:3c:4a:34:13:fb,ed:61:e4:e8:22:30,ea:01:26:75:a4:c3,d0:4e:10:2e:cb:84,e4:e0:0a:ae:fd:e2,fa:35:76:56:6f:e3,d5:b7:dc:69:ca:ae,ca:81:7a:d7:55:49,e7:2b:ea:2f:95:c5,d4:32:fc:b5:f0:b5
-200,-200,-200,-200,-200,-200,-200,-200,-92,-65,-88,-200,-200,-200,-200
-77,-200,-200,-84,-200,-200,-200,-200,-89,-200,-200,-92,-200,-200,-200
-200,-200,-200,-200,-95,-85,-87,-200,-200,-200,-200,-200,-91,-200,-200
-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-91
-84,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200
-200,-200,-200,-200,-90,-200,-77,-200,-200,-200,-200,-200,-70,-200,-200
-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-82,-200,-200,-89,-200
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200
-74,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
-93,-200,-200,-87,-200,-200,-200,-93,-91,-92,-84,-200,-200,-200,-76
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-87,-200,-200,-200,-200,-200,-200,-200,-200,-60,-200,-200,-200,-200,-95
-200,-200,-200,-200,-95,-85,-87,-200,-200,-200,-200,-200,-91,-200,-200
-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92
-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-80,-200,-200,-200,-90,-200,-200,-200,-89,-200,-200,-90,-75,-200,-200
-200,-200,-200,-200,-91,-200,-77,-200,-200,-93,-200,-200,-72,-200,-200
-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200
-85,-200,-79,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-72
-94,-200,-200,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-75,-200,-200,-200,-200,-200,-200,-89,-80,-90,-91,-200,-200,-200,-68
-75,-200,-79,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-71
-84,-200,-200,-200,-200,-200,-200,-87,-80,-95,-200,-200,-200,-200,-72
-83,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95
-76,-200,-200,-200,-94,-200,-75,-200,-200,-200,-200,-200,-76,-200,-200
-200,-200,-200,-200,-200,-200,-200,-200,-92,-93,-200,-200,-200,-200,-73
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-90
-86,-200,-200,-200,-200,-200,-200,-200,-90,-63,-200,-200,-200,-200,-92
-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-84,-200,-83,-200,-200,-200,-200,-87,-81,-96,-200,-200,-200,-200,-69
-80,-200,-200,-200,-89,-200,-81,-200,-95,-92,-200,-200,-70,-200,-200
-200,-200,-200,-200,-200,-200,-200,-200,-200,-65,-88,-200,-200,-200,-200
-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
-89,-200,-200,-200,-200,-200,-200,-200,-200,-59,-200,-200,-200,-200,-200
-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-200,-200,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-83,-200,-200,-76,-200,-200,-200,-94,-75,-200,-200,-200,-200,-200,-72
-96,-200,-94,-200,-200,-200,-200,-90,-91,-90,-200,-200,-200,-200,-79
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200
-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-200,-200,-200,-200,-200,-200,-92,-200,-200,-70,-200,-200,-72,-200,-200
-200,-200,-93,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200
-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200
-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
-78,-200,-80,-200,-200,-200,-200,-93,-73,-200,-200,-200,-200,-200,-74
